"","area","sum_det","cams","sites_occ"
"1","APN",0,16,0
"2","AUG",4,15,3
"3","BLO",5,18,3
"4","CDB",28,19,13
"5","DHP",0,12,0
"6","GOE",6,19,5
"7","KAR",18,19,9
"8","KGA",24,19,12
"9","KHA",17,16,7
"10","KRU",8,26,4
"11","MAD",10,38,8
"12","MTZ",22,11,7
"13","PLN",5,19,4
"14","TSW",25,25,9
"15","VEN",22,19,9
